
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 146 IR: 761.00 PING: 30.33 cm
Angle: 148 IR: 774.33 PING: 47.67 cm
Angle: 150 IR: 798.33 PING: 32.67 cm
Angle: 152 IR: 763.00 PING: 73.33 cm
Angle: 154 IR: 763.33 PING: 54.00 cm
Angle: 156 IR: 768.33 PING: 79.67 cm
Angle: 158 IR: 786.00 PING: 67.00 cm
Angle: 160 IR: 779.67 PING: 125.00 cm
Angle: 162 IR: 771.00 PING: 95.33 cm
Angle: 164 IR: 725.33 PING: 67.33 cm
Angle: 166 IR: 745.67 PING: 63.67 cm
Angle: 168 IR: 737.67 PING: 72.67 cm
Angle: 170 IR: 737.67 PING: 85.00 cm
Angle: 172 IR: 737.00 PING: 136.00 cm
Angle: 174 IR: 720.33 PING: 130.67 cm
Angle: 176 IR: 740.33 PING: 122.67 cm
Angle: 178 IR: 720.00 PING: 124.67 cm
Angle: 180 IR: 719.00 PING: 102.67 cm
m
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 970.33 PING: 86.33 cm
Angle: 2 IR: 1125.67 PING: 40.00 cm
Angle: 4 IR: 1126.33 PING: 38.33 cm
Angle: 6 IR: 1132.67 PING: 37.67 cm
Angle: 8 IR: 1104.00 PING: 56.00 cm
Angle: 10 IR: 1090.33 PING: 27.67 cm
Angle: 12 IR: 1057.33 PING: 21.00 cm
Angle: 14 IR: 1058.00 PING: 12.00 cm
Angle: 16 IR: 1045.67 PING: 10.00 cm
Angle: 18 IR: 1043.67 PING: 9.67 cm
Angle: 20 IR: 1061.00 PING: 9.33 cm
Angle: 22 IR: 1064.33 PING: 10.00 cm
Angle: 24 IR: 1071.67 PING: 16.67 cm
Angle: 26 IR: 1080.67 PING: 18.00 cm
Angle: 28 IR: 1052.33 PING: 17.00 cm
Angle: 30 IR: 1027.00 PING: 50.67 cm
Angle: 32 IR: 998.00 PING: 10.33 cm
Angle: 34 IR: 975.00 PING: 11.33 cm
Angle: 36 IR: 1142.33 PING: 11.33 cm
Angle: 38 IR: 1111.00 PING: 10.67 cm
Angle: 40 IR: 1466.33 PING: 14.33 cm
Angle: 42 IR: 1584.33 PING: 16.67 cm
Angle: 44 IR: 1542.67 PING: 16.67 cm
Angle: 46 IR: 1499.00 PING: 16.67 cm
Angle: 48 IR: 1449.33 PING: 16.67 cm
Angle: 50 IR: 1377.00 PING: 17.00 cm
Angle: 52 IR: 1302.33 PING: 21.00 cm
Angle: 54 IR: 1255.00 PING: 99.33 cm
Angle: 56 IR: 1125.00 PING: 18.67 cm
Angle: 58 IR: 1065.00 PING: 22.33 cm
Angle: 60 IR: 1144.33 PING: 62.33 cm
Angle: 62 IR: 1003.67 PING: 24.00 cm
Angle: 64 IR: 921.67 PING: 31.67 cm
Angle: 66 IR: 864.67 PING: 80.00 cm
Angle: 68 IR: 688.00 PING: 27.33 cm
Angle: 70 IR: 518.00 PING: 105.33 cm
Angle: 72 IR: 517.67 PING: 26.33 cm
Angle: 74 IR: 532.33 PING: 26.33 cm
Angle: 76 IR: 533.00 PING: 27.33 cm
Angle: 78 IR: 561.67 PING: 25.33 cm
Angle: 80 IR: 518.33 PING: 26.67 cm
Angle: 82 IR: 523.00 PING: 27.00 cm
Angle: 84 IR: 514.67 PING: 26.33 cm
Angle: 86 IR: 572.00 PING: 28.33 cm
Angle: 88 IR: 521.00 PING: 43.33 cm
Angle: 90 IR: 509.67 PING: 31.00 cm
Angle: 92 IR: 545.67 PING: 28.00 cm
Angle: 94 IR: 653.00 PING: 28.33 cm
Angle: 96 IR: 670.33 PING: 28.33 cm
Angle: 98 IR: 673.67 PING: 27.67 cm
Angle: 100 IR: 677.00 PING: 28.00 cm
Angle: 102 IR: 697.67 PING: 28.00 cm
Angle: 104 IR: 963.33 PING: 60.33 cm
Angle: 106 IR: 742.33 PING: 79.67 cm
Angle: 108 IR: 861.00 PING: 53.67 cm
Angle: 110 IR: 774.33 PING: 67.00 cm
Angle: 112 IR: 714.00 PING: 95.33 cm
Angle: 114 IR: 718.33 PING: 73.00 cm
Angle: 116 IR: 695.67 PING: 50.67 cm
Angle: 118 IR: 723.67 PING: 135.67 cm
Angle: 120 IR: 820.67 PING: 80.00 cm
Angle: 122 IR: 869.67 PING: 73.00 cm
Angle: 124 IR: 906.00 PING: 74.33 cm
Angle: 126 IR: 939.67 PING: 109.00 cm
Angle: 128 IR: 937.00 PING: 64.33 cm
Angle: 130 IR: 940.67 PING: 28.33 cm
Angle: 132 IR: 916.67 PING: 30.33 cm
Angle: 134 IR: 945.00 PING: 28.33 cm
Angle: 136 IR: 945.67 PING: 27.00 cm
Angle: 138 IR: 1011.67 PING: 27.67 cm
Angle: 140 IR: 1070.67 PING: 31.33 cm
Angle: 142 IR: 880.00 PING: 29.33 cm
Angle: 144 IR: 742.67 PING: 33.67 cm
Angle: 146 IR: 685.67 PING: 27.00 cm
Angle: 148 IR: 547.00 PING: 27.33 cm
Angle: 150 IR: 623.67 PING: 34.67 cm
Angle: 152 IR: 527.00 PING: 27.00 cm
Angle: 154 IR: 527.00 PING: 27.67 cm
Angle: 156 IR: 517.00 PING: 28.00 cm
Angle: 158 IR: 541.67 PING: 27.33 cm
Angle: 160 IR: 609.67 PING: 28.00 cm

Performing IR Scan...
Detected object from angle: 0 to 36 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 66 to 180 
Measured distance with PING: 536873536.00 cm
m
Performing IR Scan...
Detected object from angle: 0 to 40 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 60 to 180 
Measured distance with PING: 536873536.00 cm
m
Performing IR Scan...
Detected object from angle: 8 to 10 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 14 to 14 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 18 to 18 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 38 to 38 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 42 to 42 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 46 to 50 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 54 to 56 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 66 to 66 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 70 to 70 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 76 to 76 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 82 to 82 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 90 to 90 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 94 to 94 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 100 to 102 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 124 to 128 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 132 to 134 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 138 to 138 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 144 to 144 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 156 to 156 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 162 to 162 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 172 to 172 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 176 to 176 
Measured distance with PING: 536873536.00 cm
m
Performing IR Scan...
Detected object from angle: 0 to 0 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 8 to 8 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 14 to 18 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 28 to 30 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 34 to 34 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 38 to 38 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 46 to 46 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 52 to 54 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 58 to 58 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 68 to 68 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 80 to 80 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 84 to 86 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 96 to 98 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 110 to 112 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 122 to 124 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 130 to 130 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 134 to 134 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 144 to 144 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 148 to 148 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 160 to 160 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 164 to 164 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 168 to 168 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 172 to 172 
Measured distance with PING: 536873536.00 cm
m
Performing IR Scan...
Detected object from angle: 0 to 0 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 8 to 8 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 18 to 18 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 24 to 24 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 28 to 28 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 38 to 38 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 42 to 42 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 46 to 46 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 52 to 52 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 58 to 58 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 68 to 68 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 74 to 80 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 84 to 86 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 90 to 90 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 96 to 96 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 112 to 114 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 118 to 122 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 128 to 128 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 132 to 132 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 142 to 144 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 148 to 148 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 162 to 162 
Measured distance with PING: 536873536.00 cm
Detected object from angle: 176 to 176 
Measured distance with PING: 536873536.00 cm
m
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
awwddQuitting...

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 1105.33 PING: 41.67 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 1100.67 PING: 40.67 cm
